               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045915,            0.037653,            0.024032,             0.60111,             0.55456,              0.5747,             0.31324,            0.040204,            0.021404,            0.013159,            0.008812,            0.008812,            0.008812
                  38,            0.045592,            0.037676,            0.023569,             0.60473,             0.55849,             0.57632,             0.31687,             0.04014,            0.021347,            0.013066,            0.008779,            0.008779,            0.008779
                  39,            0.045248,            0.037112,            0.023523,             0.61009,             0.56863,             0.58623,             0.32236,            0.039987,            0.021242,            0.012749,            0.008746,            0.008746,            0.008746
                  40,            0.045492,             0.03748,            0.023412,             0.61569,             0.56377,             0.58875,             0.32418,             0.03978,            0.021234,            0.012741,            0.008713,            0.008713,            0.008713
                  41,            0.045147,            0.037245,             0.02306,             0.61465,             0.56961,             0.59514,             0.32774,            0.039723,            0.021123,            0.012583,             0.00868,             0.00868,             0.00868
                  42,            0.045118,            0.037105,            0.023167,              0.6132,             0.57028,              0.5965,              0.3296,            0.039546,            0.021113,             0.01252,            0.008647,            0.008647,            0.008647
                  43,            0.045049,            0.037046,            0.023119,             0.62321,             0.56159,             0.59884,             0.33114,            0.039469,            0.021094,            0.012376,            0.008614,            0.008614,            0.008614
                  44,             0.04499,            0.037143,            0.022455,             0.62456,             0.57209,             0.60014,             0.33386,            0.039343,            0.021013,            0.012253,            0.008581,            0.008581,            0.008581
                  45,            0.044883,            0.036929,            0.022754,             0.62038,              0.5773,             0.60158,             0.33561,             0.03923,            0.021007,            0.012334,            0.008548,            0.008548,            0.008548
                  46,            0.044517,            0.036789,            0.022181,             0.62433,             0.57726,             0.60509,             0.33906,            0.039152,            0.020982,            0.012056,            0.008515,            0.008515,            0.008515
                  47,            0.044665,            0.037164,            0.022513,             0.62696,              0.5755,             0.60718,             0.34161,             0.03909,            0.020979,            0.011933,            0.008482,            0.008482,            0.008482
                  48,            0.044484,            0.037053,            0.022202,             0.63098,             0.57525,             0.61057,              0.3434,            0.039016,            0.020954,            0.011773,            0.008449,            0.008449,            0.008449
                  49,            0.044273,            0.037207,            0.021884,             0.63801,             0.58405,             0.61491,             0.34617,            0.038951,            0.020905,            0.011779,            0.008416,            0.008416,            0.008416
